مدل خودرو,شرکت سازنده,روغن موتور,روغن گیربکس (دستی یا اتوماتیک),سیال خنک¬کننده,
نیوپیکاپ موتور KA-24DE,نیسان,,بهران سوپر پیشتاز 10W-40,,بهران بهمن
,,,,,بهران پلور LPO
"رونیز موتور، KA24DE",نیسان,,بهران سوپر پیشتاز 10W-40,,بهران بهمن
,,,,,بهران پلور LPO
سرانزا موتور KA24DE,نیسان,,بهران سوپر پیشتاز 10W-40,,بهران بهمن
,,,,,بهران پلور LPO
قشقایی موتور MR20DE,نیسان,,بهران رانا 5W-30,بهران اتوماتیک CVT,بهران پلور LPO
,,,,,بهران بهمن
مورانو موتور VQ35DE,نیسان,,بهران رانا 5W-30,بهران اتوماتیک CVT,بهران پلور LPO
,,,,,بهران بهمن
"نیو مورانو موتور، VQ35DE",نیسان,,بهران رانا 5W-30,بهران اتوماتیک CVT,بهران پلور LPO
,,,,,بهران بهمن
هاوال M4 موتور GW4G15,گریت وال,,بهران رانا 5W-30,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
هاوال H2 توربوشارژ موتور GW4G15B,گریت وال,,سوپر رانا 5W-40,بهران اتوماتیک MVLV,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
هاوال H9 توربوشارژ موتور GW4C20A,گریت وال,,سوپر رانا 5W-40,,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
وینگل 3 موتور 4G69S4N,گریت وال,,بهران رانا 5W-30,,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"وینگل 5 موتور، 4G69S4N",گریت وال,,بهران رانا 5W-30,,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
,,,بهران رانا 10W-40,,بهران بهمن
,,,بهران رانا 10W-40,,بهران بهمن
,,,بهران رانا 10W-40,,بهران بهمن
,,,بهران سوپر پیشتاز 10W-40,,بهران بهمن
"C3 توربوشارژ، THP165",سیتروئن,,بهران سوپر رانا+ 5W-30,,بهران بهمن
,,,,,بهران کولنت
323 4 سیلندر.,مزدا,,بهران سوپر پیشتاز 10W-40,,
,,,بهران سوپر پیشتاز 10W-40,,
,,,بهران پیشتاز 20W-50,,
,,,بهران پیشتاز 20W-50,,
,,,بهران سوپر پیشتاز 10W-40,,
"405 موتور، XU7JPL3",پژو peugeot,,بهران سوپر پیشتاز 20W-50,بهران سمند NFJ 75W-80,بهران مهر
,,,,بهران سمند ویژه,بهران کولنت
,,,,,بهران بهمن
,,,بهران سوپر پیشتاز 20W-50,,بهران بهمن
,,,,,بهران مهر
"405 SLX 1800، موتور XU7JPL3",پژو peugeot,,بهران سوپر پیشتاز 20W-50,بهران سمند NFJ 75W-80,بهران مهر
,,,,بهران سمند ویژه,بهران کولنت
,,,,,بهران بهمن
"405 SLX 1600، موتور TU5JP4L4",پژو peugeot,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران بهمن
,,,,بهران سمند ویژه,بهران کولنت
,,,,,بهران مهر
"206 تیپ 2، موتور TU3",پژو peugeot,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران بهمن
,,,,بهران سمند ویژه,بهران کولنت
,,,,,بهران مهر
"206 تیپ 5، موتور TU5",پژو peugeot,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران مهر
,,,,بهران سمند ویژه,بهران کولنت
,,,,,بهران بهمن
پارس موتور XU7JPL3,پژو peugeot,,بهران سوپر پیشتاز 20W-50,بهران سمند NFJ 75W-80,بهران بهمن
,,,,بهران سمند ویژه,بهران کولنت
,,,,,بهران مهر
پارس موتور TU5JP4L4,پژو peugeot,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران بهمن
,,,,بهران سمند ویژه,بهران کولنت
,,,,,بهران مهر
"زانتیا موتور 2000، XU10J4R",سیتروئن,,بهران سوپر پیشتاز 10W-40,,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
,,,بهران سوپر پیشتاز 10W-40,,بهران مهر
,,,,,بهران بهمن
"زانتیا موتور 1800، XU7/JP4",سیتروئن,,بهران سوپر پیشتاز 10W-40,,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
,,,بهران سوپر پیشتاز 10W-40,,بهران مهر
,,,,,بهران بهمن
"دنا دنا معمولی، موتور EF7",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند ویژه 75W-80/ بهران سمند NFJ 75W-80,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"دنا دنا پلاس، موتور EF7",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند ویژه 75W-80/ بهران سمند NFJ 75W-80,بهران مهر
,,,,,بهران کولنت
,,,,,بهران مهر
"دنا دنا پلاس توربو دستی، موتور EF7 TC",ایران خودرو,,بهران سوپر رانا+ 10W-40,بهران سمند NFJ 75W-80,بهران بهمن
,,,بهران رانا 10W-40,بهران سمند ویژه,بهران کولنت
,,,,,بهران مهر
"سمند سورن ELX، موتور EF7",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند ویژه,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"سمند سورن ELX توربو، موتور EF7 TC",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند ویژه,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"سمند سمند SE، موتور XU7JPL3",ایران خودرو,,بهران سوپر پیشتاز 20W-50,بهران سمند ویژه,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"سمند سمند سریر، موتور XU7JP4",ایران خودرو,,بهران سوپر پیشتاز 20W-50,بهران سمند ویژه,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"سمند سمند LX ، موتور EF7",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند ویژه,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"سمند سمند 1800 LX ، موتور XU7JPL3",ایران خودرو,,بهران سوپر پیشتاز 20W-50,بهران سمند ویژه,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"سمند سمند ساده، موتور XU7JPL3",ایران خودرو,,بهران سوپر پیشتاز 20W-50,بهران سمند ویژه,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"موهاوی موتور 8 سیلندر، G8BA",کیا KIA,,سوپر رانا 5W-40,بهران اتوماتیک MV,بهران پلور LPO
,,,,,بهران بهمن
"موهاوی موتور 6 سیلندر، G6DA",کیا KIA,,سوپر رانا 5W-40,بهران اتوماتیک MV,بهران پلور LPO
,,,,,بهران بهمن
,,,سوپر رانا 5W-40,,
کادنزا موتور G6DC,کیا KIA,,سوپر رانا 5W-40,بهران اتوماتیک MVLV,بهران پلور LPO
,,,,,بهران بهمن
"کادنزا فیس لیفت، موتور G6DC",کیا KIA,,سوپر رانا 5W-40,بهران اتوماتیک MVLV,بهران پلور LPO
,,,,,بهران بهمن
"اسپورتیج QL، موتور G4KJ",کیا KIA,,بهران اولترا رانا 5W-30,بهران اتوماتیک MVLV,بهران بهمن
,,,بهران سوپر رانا 5W-30,,بهران پلور LPO
"اسپورتیج SL، موتور G4KJ",کیا KIA,,بهران سوپر رانا 5W-30,بهران اتوماتیک MVLV,بهران پلور LPO
,,,بهران اولترا رانا 5W-30,,بهران بهمن
"اسپورتیج SL فیس لیفت، موتور G4KJ",کیا KIA,,بهران اولترا رانا 5W-30,بهران اتوماتیک MVLV,بهران پلور LPO
,,,بهران سوپر رانا 5W-30,,بهران بهمن
"پیکانتو فیس لیفت، موتور kappa ll",کیا KIA,,بهران اولترا رانا 5W-30,بهران اتوماتیک MV,بهران پلور LPO
,,,بهران سوپر رانا 5W-30,,بهران بهمن
,,,بهران پیشتاز 20W-50,,بهران بهمن
وانت زامیاد بنزینی,زامیاد,,بهران پیشتاز 20W-50,,بهران بهمن
,,,,,بهران کولنت
,,,,,بهران مهر
"CLS 500 8 سیلندر، تویین توربوشارژ",بنز,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
,,,,,بهران بهمن
C 200 4 سیلندر,بنز,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
,,,,,بهران بهمن
,,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
"E 200 4 سیلندر، توربوشارژ",بنز,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
,,,,,بهران بهمن
"E 250 چهار سیلندر، توربوشارژ",بنز,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
,,,,,بهران بهمن
کاین 6 سیلندر,پورشه,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
120i 4سیلندر توربوشارژ,ب ام و,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
220i چهار سیلندر توربو,ب ام و,,بهران سوپر رانا+ 5W-30,,
328i چهار سیلندر موتور توربو,ب ام و,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
428i چهار سیلندر توربوشارژ,ب ام و,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
X3-28i 4 سیلندر توربو,ب ام و,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
"X4-28i 4 سیلندر، موتور توربو N20B20",ب ام و,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
"X1-28i 4- سیلندر، توربوشارژ",ب ام و,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
,,,,,بهران بهمن
,,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
,,,,,بهران بهمن
Z4-28i 4 سیلندر توربوشارژ,ب ام و,,بهران سوپر رانا+ 5W-30,,بهران پلور LPO
,,,,,بهران بهمن
,,,بهران پیشتاز 20W-50,,بهران بهمن
,,,,,بهران کولنت
,,,,,بهران مهر
ROA بنزین سوز,پژو peugeot,,بهران پیشتاز 20W-50,بهران سمند ویژه,بهران بهمن
,,,,,بهران کولنت
,,,,,بهران مهر
RD چهار سیلندر خطی,پژو peugeot,,بهران پیشتاز 20W-50,,بهران بهمن
,,,,,بهران کولنت
,,,,,بهران مهر
,,,بهران سوپر پیشتاز 10W-40,,
"رانا رانا، TU5",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران رانا 10W-40,بهران اتوماتیک MVLV,بهران مهر
,,,,,بهران بهمن
,,,,,بهران کولنت
"دنا دنا پلاس توربو اتومات، موتور EF7 TC",ایران خودرو,,بهران سوپر رانا+ 10W-40,بهران اتوماتیک MVLV,بهران بهمن
,,,بهران رانا 10W-40,,بهران مهر
,,,,,بهران کولنت
,,,بهران رانا 10W-40,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"S3 موتور HFC4GB2.3D، دنده اتومات",جک,,بهران رانا 10W-40,بهران اتوماتیک CVT,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"S5 توربوشارژ موتور HFC4GA3/1D، اتومات",جک,,بهران رانا 10W-40,بهران اتوماتیک DCT,بهران مهر
,,,,,بهران بهمن
,,,,,بهران کولنت
"H220 موتور BM15L، نیمه اتومات",برلیانس,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"H230 موتور، BM15L نیمه اتومات",برلیانس,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"H320 موتور 1.5 لیتری، BM15L دنده دستی",برلیانس,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"H320 موتور 1.65 لیتری، BM16LB دنده دستی",برلیانس,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"H330 موتور 1.65 لیتری، BM16LB دنده دستی",برلیانس,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"H330 موتور 1.5 لیتری، BM15L دنده دستی",برلیانس,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
V5 موتور 4A92A اتومات,برلیانس,,بهران سوپر پیشتاز 10W-40,بهران اتوماتیک MV,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"آریزو 5 توربو، SQRE4T15B",مدیران خودرو,,سوپر رانا 5W-40,بهران اتوماتیک CVT,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
آریزو 6 موتور توربو SQRE4T15B,مدیران خودرو,,سوپر رانا 5W-40,بهران اتوماتیک CVT,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"آریزو 5 موتور E4G16، اتومات",مدیران خودرو,,سوپر رانا 5W-40,بهران اتوماتیک CVT,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"تیگو 5 موتور SQR484F، دنده دستی",,,سوپر رانا 5W-40,بهران سمند,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"تیگو 5 موتور SQR484F، دنده اتومات",مدیران خودرو,,سوپر رانا 5W-40,بهران اتوماتیک CVT,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"رانا رانا پلاس، TU5P",ایران خودرو,,بهران رانا 10W-40,بهران سمند NFJ 75W-80,بهران کولنت
,,,,بهران سمند ویژه,بهران بهمن
,,,,,بهران مهر
,,,بهران سوپر رانا 5W-30,بهران اتوماتیک CVT,بهران پلور LPO
,,,بهران اولترا رانا 5W-30,,بهران بهمن
ایکس تریل چهار سیلندر,نیسان,,بهران اولترا رانا 5W-30,بهران اتوماتیک CVT,بهران بهمن
,,,بهران سوپر رانا 5W-30,,بهران پلور LPO
"530 موتورSQR484F، دنده ای",مدیران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"550 موتور SQR484F، دنده ای",مدیران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"X22 موتور SQRD4G15B، دنده ای",مدیران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"X33 موتور SQR484F، دنده ای",مدیران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"360 موتور، 15S4C دنده دستی",ام جی,,بهران اولترا رانا 5W-30,بهران سمند ویژه,بهران کولنت
,,,بهران سوپر رانا 5W-30,بهران سمند,بهران بهمن
,,,,,بهران مهر
"CS35 موتور JL478QEE، دنده ای",چانگان,,بهران رانا 10W-40,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"ایدو موتور H16NA-DVVT، دنده ای",چانگان,,بهران رانا 10W-40,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"3 نیو، موتور 1.6 لیتری MZR",مزدا,,سوپر رانا 5W-40,بهران سمند,بهران پلور LPO
,,,,,بهران بهمن
"S7 1800 دنده ای،موتور توربو HM484Q-T",هایما,,بهران رانا 10W-40,بهران سمند,بهران مهر
,,,,بهران سمند ویژه,بهران کولنت
,,,,,بهران بهمن
"S7 2000 دنده ای، موتور HM484Q-A",هایما,,بهران رانا 10W-40,بهران سمند ویژه,بهران بهمن
,,,,بهران سمند,بهران کولنت
,,,,,بهران مهر
"تندر 90 پلاس دنده ای، موتور K4M-A6",رنو,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"تندر 90 اتومات، موتور K4M-C6",رنو,,بهران سوپر پیشتاز 10W-40,بهران اتوماتیک MV,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"تندر 90 دنده ای، موتور K4M-A6",رنو,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"سیمبل دنده ای، موتور K4M",رنو,,سوپر رانا 5W-40,بهران سمند NFJ 75W-80,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"فلوئنس دنده ای، موتور M4R",رنو,,سوپر رانا 5W-40,بهران سمند ویژه,بهران کولنت
,,,,بهران سمند,بهران بهمن
,,,,,بهران مهر
"ساندرو دنده ای،موتور K4M-C6",رنو,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران مهر
,,,بهران رانا 10W-40,,بهران کولنت
,,,,,بهران بهمن
"ساندرو استپ وی دنده ای، موتور K4M-C6",رنو,,بهران سوپر پیشتاز 10W-40,بهران سمند NFJ 75W-80,بهران کولنت
,,,بهران رانا 10W-40,,بهران بهمن
,,,,,بهران مهر
,,,بهران اولترا رانا 5W-30,بهران اتوماتیک DCT,بهران پلور LPO
"ایما چهار سیلندر، موتور 4A95TD",لاماری,,بهران اولترا رانا 5W-30,بهران اتوماتیک DCT,بهران پلور LPO
"تارا TU5P، دستی",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران سمند,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران سوپر پیشتاز 10W-40,بهران اتوماتیک MVLV,بهران مهر- بهران بهمن- بهران کولنت
"تارا TU5P، اتوماتیک",ایران خودرو,,بهران سوپر پیشتاز 10W-40,بهران اتوماتیک MVLV,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران سوپر رانا+ 5W-30,بهران اتوماتیک CVT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران رانا 10W-40,,
"تیگو 7 پرو توربو، SQRE4T15C",فونیکس,,بهران رانا 10W-40,بهران اتوماتیک CVT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران سوپر رانا+ 5W-30,,
آریزو 6 پرو SQRE4T15B,فونیکس,,بهران سوپر رانا+ 5W-30,بهران اتوماتیک CVT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران رانا 10W-40,,
"FX توربوشارژ، SQRE4T15C",فونیکس,,بهران سوپر رانا+ 5W-30,بهران اتوماتیک DCT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران اولترا رانا 5W-30,,
"تیگو 8 پرو توربوشارژ، SQRD/T",فونیکس,,بهران رانا 10W-40,بهران اتوماتیک DCT,بهران مهر- بهران بهمن- بهران کولنت
,,,بهران سوپر رانا+ 5W-30,,
"بایک سابرینا اتومات موتور، A151",بایک موتور,,بهران سوپر پیشتاز 10W-40,بهران اتوماتیک MV,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
S30 موتور TU5 دنده ای,دانگ فنگ,,بهران رانا 10W-40,بهران سمند ویژه,بهران مهر
,,,,,بهران بهمن
,,,,,بهران کولنت
کیزاشی موتور J24B دنده ای,سوزوکی,,سوپر رانا 5W-40,بهران سمند,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
"گرندویتارا 2000، موتور J20A دنده ای",سوزوکی,,سوپر رانا 5W-40,بهران سمند ویژه,بهران مهر
,,,,,بهران کولنت
,,,,,بهران بهمن
"گرندویتارا 2400، موتور J24B دنده ای",سوزوکی,,سوپر رانا 5W-40,بهران سمند ویژه,بهران کولنت
,,,,,بهران بهمن
,,,,,بهران مهر
X 60 موتور LFB479Q دنده ای,لیفان,,بهران رانا 10W-40,بهران سمند ویژه,بهران بهمن
,,,,بهران سمند,بهران کولنت
,,,,,بهران مهر
X 50 موتور LFB479Q2-B دنده ای,لیفان,,بهران رانا 10W-40,بهران سمند ویژه,بهران بهمن
,,,,بهران سمند,بهران کولنت
,,,,,بهران مهر
"ماکسیما موتور VQ30، دنده ای",نیسان,,بهران رانا 20W-50,بهران سمند,بهران بهمن
,,,,,بهران پلور LPO
